Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Genre,director,IMDBrating,contentRating,duration
1,Avatar,2923706026,785221649,0.269,2138484377,0.731,2009,Action,James Cameron,7.9,PG-13,PT2H42M
2,Avengers: Endgame,2799439100,858373000,0.307,1941066100,0.69,2019,No Data,Anthony Russo,8.4,PG-13,PT3H1M
3,Avatar: The Way of Water,2320250281,684075767,0.295,1636174514,0.705,2022,Action,James Cameron,7.6,PG-13,PT3H12M
4,Titanic,2264743305,674292608,0.298,1590450697,0.702,1997,Drama,James Cameron,7.9,PG-13,PT3H14M
5,Star Wars: Episode VII - The Force Awakens,2071310218,936662225,0.452,1134647993,0.548,2015,Action,J.J. Abrams,7.8,PG-13,PT2H18M
6,Avengers: Infinity War,2052415039,678815482,0.33,1373599557,0.67,2018,No Data,Anthony Russo,8.4,PG-13,PT2H29M
7,Spider-Man: No Way Home,1921847111,814115070,0.424,1107732041,0.576,2021,No Data,Jon Watts,8.2,PG-13,PT2H28M
8,Jurassic World,1671537444,653406625,0.391,1018130819,0.609,2015,Action,Colin Trevorrow,6.9,PG-13,PT2H4M
9,The Lion King,1663075401,543638043,0.327,1119437358,0.673,2019,Family,Roger Allers,8.5,G,PT1H28M
10,The Avengers,1520538536,623357910,0.41,897180626,0.59,2012,Thriller,Joss Whedon,8.0,PG-13,PT2H23M
11,Furious 7,1515341399,353007020,0.233,1162334379,0.767,2015,Action,James Wan,7.1,PG-13,PT2H17M
12,Top Gun: Maverick,1495696292,718732821,0.48,776963471,0.52,2022,No Data,Joseph Kosinski,8.3,PG-13,PT2H10M
13,Frozen II,1453683476,477373578,0.328,976309898,0.672,2019,No Data,Chris Buck,6.8,PG,PT1H43M
14,Avengers: Age of Ultron,1405018048,459005868,0.327,946012180,0.673,2015,Action,Joss Whedon,7.3,PG-13,PT2H21M
15,Barbie,1403778771,620278771,0.44,783500000,0.56,2023,No Data,Greta Gerwig,7.2,PG-13,PT1H54M
16,The Super Mario Bros. Movie,1360325400,574934330,0.423,785391070,0.577,2023,No Data,Aaron Horvath,7.1,PG,PT1H32M
17,Black Panther,1349926083,700426566,0.519,649499517,0.481,2018,No Data,Ryan Coogler,7.3,PG-13,PT2H14M
18,Harry Potter and the Deathly Hallows: Part 2,1342359942,381447587,0.284,960912355,0.716,2011,Family,David Yates,8.1,PG-13,PT2H10M
19,Star Wars: Episode VIII - The Last Jedi,1334407706,620181382,0.465,714226324,0.535,2017,No Data,Rian Johnson,6.9,PG-13,PT2H32M
